"Summary","Issue Type","Description","Acceptance Criteria","Components","Labels","Owner"
"Scene Builder & Timeline","Epic","Build core scene editor with prompt enhancement (brain+beat+continuity), 2–3 options + generate more, lock/unlock with version history, timeline reorder; storyboard preview gated for Beta; p95 UI latency <200ms.","1) Prompt enhancement on every generate; 2–3 options + generate more. 2) Lock/unlock with version history; timeline reorder persists. 3) Storyboard preview behind Beta flag. 4) p95 UI latency <200ms for generate/lock actions.","frontend;full-stack","storyforge;scene-builder;beta-flag","Frontend lead / Full-stack"
"Continuity & Character Lock","Epic","Character creation (upload/generate) with embeddings; auto-injection into prompts; per-scene consistency score; continuity v2 (location/time/props) by Beta; dashboard surfacing issues; >90% consistency by Launch.","1) Characters stored with embeddings/appearance refs. 2) Auto-injection + per-scene consistency score. 3) Continuity v2 tracks location/time/props; dashboard flags issues. 4) >90% consistency at Launch test set.","ml;backend","storyforge;continuity;launch-critical","ML/Backend lead"
"Cinematic Brains & Format Templates","Epic","Brain gallery with previews; 3 brains Alpha → 8 by Beta; 5 format templates with beat-to-scene linkage; style metadata for marketplace; style mixing behind Pro/Studio flag.","1) Brain gallery selectable with previews. 2) 3 brains live Alpha; 8 by Beta. 3) 5 templates live; beats editable and linked to scenes. 4) Style mixing behind Pro/Studio flag.","ml;product","storyforge;brains;formats","ML/Product lead"
"Export Engine","Epic","Multi-format export: MP4 16:9 Alpha; TikTok/Reels/Stories/Cinematic by Beta; safe-zone preview; render queue with status/retries; export success >80% Beta / >90% Launch.","1) Export works for Alpha/Beta formats. 2) Safe-zone preview per aspect. 3) Queue shows status/retries/errors. 4) Export success >80% Beta; >90% Launch in tests.","backend;frontend","storyforge;export","Backend/Frontend lead"
"Provider Routing & Fallbacks","Epic","Runway primary with Sora/Kling fallbacks; Stability storyboard fallback; provider_route + safety_mode logged; health checks and cost alerts; fallback rate <20% sustained.","1) Routing to primary; fallbacks on error/throttle. 2) Storyboard fallback on video throttle. 3) provider_route and safety_mode logged; alert on fallback >20%. 4) Cost/health alerts active.","backend;ml","storyforge;infra;providers","Backend/ML lead"
"Safety & Compliance","Epic","Prompt moderation + NSFW filter; mature-aesthetic toggle (logged); watermarking/origin tracking; DMCA workflow; audit logs.","1) Moderation on prompts/outputs per policy. 2) Mature toggle stored/logged with user/time. 3) Watermark/origin tracking applied. 4) DMCA/report flow tested.","backend;policy","storyforge;safety;compliance","Backend/Policy lead"
"Billing, Credits, Promotions","Epic","Stripe integration; Creator/Pro/Studio SKUs; credit wallet/metering; Founding Creator + Student promos; receipts/refunds; usage alerts at 80%.","1) Plans purchasable; entitlements enforced. 2) Credit wallet debits gen/export; balance + 80% alerts. 3) Promos apply correct pricing/limits. 4) Receipts/refunds logged.","backend;frontend","storyforge;billing;launch","Backend/Frontend lead"
"Marketplace Foundation","Epic","Marketplace for brains/formats/character packs: browse/purchase, upload/review, purchase via credits, payout tracking (70/30 split).","1) Browse/search + detail pages. 2) Purchase via credits; entitlement delivered. 3) Upload/review with approval state; moderation hooks. 4) Payout tracking with 70/30 split.","full-stack","storyforge;marketplace","Full-stack lead"
"Analytics & Observability","Epic","Implement taxonomy incl. safety_setting_changed/provider_route/cache_hit; dashboards (Activation/Reliability/Revenue/Engagement); alerts (p95 gen >90s, export <80%, provider fallback >20%, payments >3%); tracing with request IDs.","1) Events emit required props; safety_mode/provider_route present. 2) Dashboards live for 4 pillars. 3) Alerts configured/tested. 4) Tracing with request IDs across services.","data;backend","storyforge;analytics;reliability","Data/Eng lead"
"Infrastructure & Performance","Epic","Multi-AZ, caching L1/L2, p95 generation <90s Beta / <75s stretch; autoscaling; CDN for media; SLO dashboards; load tests (1K Beta, 10K Launch prep).","1) Multi-AZ + autoscaling live. 2) Redis L1 + vector L2 active; hit rates reported. 3) p95 gen <90s Beta load; <75s stretch measured. 4) Load tests to 1K/10K with reports.","devops;backend","storyforge;infra;performance","DevOps/Backend lead"
"Mobile Web Experience","Epic","Mobile-friendly preview + light controls (approve/lock, variation, export); responsive validated; desktop CTA for full edits.","1) Mobile preview + lock/variation/export work. 2) Responsive validated on target devices. 3) CTA to continue on desktop for full controls.","frontend","storyforge;mobile","Frontend lead"
"GTM & Launch Ops","Epic","Coordinate PH/press/seeding/support: code freeze T-5; PH listing staged; press briefings T-3; 50 creator seeding; support FAQ/incident comms live; track Day 0 targets (3K signups, 200 paid week 1).","1) Code freeze + go/no-go checklist done. 2) PH/press assets staged; briefings scheduled. 3) 50 creators seeded with credits. 4) Support FAQ/runbooks live; targets tracked.","marketing;cs","storyforge;gtm;launch","Marketing/CS lead"
